Question,Answer
Tôi làm thế nào để giao dịch thẻ an toàn tại ATM,Để đảm bảo an toàn  trong giao dịch thẻ tại ATM khách hàng lưu ý các hướng dẫn an toàn trong giao dịch như sau Lưu giữ thẻ ở vị trí có thể giúp khách hàng sớm phát hiện ra việc bị mất thẻ Tuyệt đối không cất giữ mã PIN chung với thẻ trong bất cứ trường hợp nào Đảm bảo không ai nhìn thấy mã PIN khi thực hiện giao dịch che bàn phím Chủ động kiểm tra vị trí khe đọc thẻ bàn phím camera trước khi giao dịch tại ATM để đề phòng có các thiết bị ăn cắp thông tin Ngừng giao dịch và thông báo ngay tới Vietcombank khi phát hiện điểm bất thường tại ATM bàn phímkhe đọc thẻ bị rơiTham khảo Hướng dẫn giao dịch an toàn  Mục Hỗ trợKhác tại Digibank
Tôi lần đầu sử dụng thẻ có thể đổi PIN tại ATM của ngân hàng khác không,Khách hàng chỉ có thể đổi Pin thẻ VCB tại ATM VCB không thể đổi Pin tại ATM của ngân hàng khác Tuy nhiên hiện nay VCB đã hỗ trợ khách hàng tạo và thay đổi mã Pin trên Digibank mà không cần ra ATM để thực hiện
Thẻ của khách hàng lần đầu đổi PIN trên Digibank thì có thể đổi lại PIN trên ATM VCB không,Khách hàng vào mục Đổi Pin trên màn hình giao diện chính của ATM để thực hiện đổi PIN thẻ
Tôi có thể kích hoạt thẻ tại ATM VCB không và làm như thế nào,Hiện tại chưa có chức năng kích hoạt thẻ tại ATM VCB Quý khách có thể kích hoạt thẻ VCB qua tin nhắn SMS Digibank hoặc tại các điểm giao dịch VCB
Khách hàng có thể chuyển tiền theo số tài khoản của người hưởng tại ngân hàng khác không,Quý khách chỉ có thể thực hiện giao dịch chuyển tiền liên ngân hàng theo số thẻ của người hưởng tại ngân hàng khác trên ATM VCB Tại ATM VCB mục Chuyển tiền Chuyển tiền qua thẻ nhập số thẻ của người thụ hưởng tại ngân hàng khác
Khách hàng rút tiền tại ATM của VCB giao dịch không thành công tài khoản bị trừ tiền thì sau bao lâu được hoàn trả tiền Nếu Khách hàng không làm tra soát thì có được hoàn trả tiền không,Giao dịch chủ thẻ rút tiền tại ATM VCB giao dịch không thành công nhưng tài khoản khách hàng bị tiền nếu khách hàng không làm tra soát VCB vẫn thực hiện hoàn tiền cho khách nếu VCB đã thu tiền chủ thẻ VCB phát hành hoặc đã được TCTQTNapas thanh toán cho thẻ NH khác phát hànhCụ thể như sau1 Đối với thẻ nội địa Thẻ VCB thẻ nội địa và thẻ ghi nợ quốc tế VCB sẽ hoàn tiền cho khách chậm nhất trong vòng 4 ngày kể từ ngày kiểm quỹ máy ATM Thẻ NH khácTrường hợp VCB được Napas báo có  VCB sẽ hoàn tiền cho NHPH chậm nhất trong vòng 4 ngày làm việc kể từ ngày kiểm quỹ máy ATM xác định giao dich chênh lệch thông qua Napas Thời hạn hoàn trả cho chủ thẻ kể từ khi nhận được số tiền VCB hoàn trả phụ thuộc vào từng NHPHTrường hợp VCB không được Napas báo có Tiền GD lỗi vẫn theo dõi tại NHPH việc hoàn trả chủ thẻ hoàn toàn phụ thuộc vào NHPHDo vậy với các GD thẻ NH khác khách hàng nên chủ động tra soát với NHPH để giao dịch được hoàn trả nhanh nhất2 Đối với thẻ quốc tế Thẻ tín dụng quốc tế do VCB phát hànhTrường hợp giao dịch không lên sao kê chỉ bị trừ hạn mức sau 5 ngày kể từ ngày phát sinh giao dịch hạn mức sẽ được hoàn lạiTrường hợp giao dịch đã lên sao kê chủ thẻ đối với giao dịch thừa quỹ ATM tại CN chậm nhất trong vòng 6 ngày làm việc kể từ ngày kiểm quỹ ATM đối với giao dịch không thừa quỹ tại ATM chậm nhất trong vòng 7 ngày làm việc kể từ ngày giao dịch giao dịch lỗi sẽ được hoàn trả cho chủ thẻ khách hàng không phải chịu lãi và phí rut tiền mặt cho giao dịch bị lỗi tại ATM Thẻ quốc tế Ngân hàng khác phát hànhTrường hợp giao dịch không thành công chủ thẻ chưa bị trừ tiền mà chỉ trừ hạn mứchold tài khoản nếu chủ thẻ thông báo cho VCB CN thực hiện gửi yêu cầu hủy code cho TTQLVHBL TTQLVHBL sẽ gửi yêu cầu hủy code cho NHPH và việc hoàn trả sẽ phụ thuộc Ngân hàng phát hànhTrường hợp giao dịch không thành công chủ thẻ đã bị trừ tiềnghi nợNếu giao dịch VCB đã được TCTQT thanh toán đối với giao dịch thừa quỹ ATM tại CN trong vòng 6 ngày làm việc kể từ ngày kiểm quỹ ATM đối với giao dịch không thừa quỹ ATM chậm nhất trong vòng 7 ngày làm việc kể từ ngày TCTQT thanh toán cho VCB giao dịch lỗi sẽ được hoàn trả cho chủ thẻNếu GD VCB chưa được TCTQT thanh toán nếu chủ thẻ thống báo đã bị trừ tiền CN thực hiện CN thực hiện gửi yêu cầu hủy code cho TTQLVHBL TTQLVHBL sẽ gửi yêu cầu hủy code cho NHPH và việc hoàn trả sẽ phụ thuộc Ngân hàng phát hànhĐối với GD thẻ quốc tế NH khác phát hành đối với giao dịch VCB không được TCTQT thanh toán chủ thẻ nên tra soát với NHPH và sẽ được hoàn trả theo chính sách của NHPH
Tôi nhận được tin nhắn thông báo khi giao dịch thẻ tín dụng là hạn mức khả dụng tạm tính Giải thích giúp tôi,Để giúp Quý khách nắm được thông tin hạn mức có thể sử dụng trong trường hợp khách hàng KH có nhiều thẻ tín dụng tại VCB và các thẻ này có hạn mức liên thông VCB gửi thông tin đến KH hạn mức khả dụng tạm tính là hạn mức còn lại mà KH có thể sử dụngVí dụ Khách hàng được VCB cấp hạn mức 100 triệu VNĐ để phát hành thẻ tín dụng trong đó có 01 thẻ Visa Platinum hạn mức 100 triệu và 01 thẻ JCB gold hạn mức 70 triệu KH đã tiêu thẻ Visa 50 triệu VNDàhạn mức khả dụng là 50 triệu VND Khi KH tiêu tiếp bằng thẻ JCB 5 triệu VNDàhạn mức khả dụng là 45 triệu mặc dù thẻ JCB có hạn mức ban đầu là 75 triệu và KH mới sử dụng 5 triệu trên thẻ này
Tôi nhận thẻ tín dụngghi nợ nhưng không sử dụng được tại ATM tôi không biết nguyên nhân vì sao,Khách hàng nhận được Thẻ mới phát hành nhưng không sử dụng được có thể do các nguyên nhân và hướng xử lý như sau1 Thẻ chưa được mở khóachưa được kích hoạt Để kích hoạt thẻ Quý khách có thể thực hiện theo một trong các hướng dẫn sau Nhắn tin SMS đến tổng đài 6167 theo cú pháp VCBdấu cáchKHT6 số đầu của thẻ cần kích hoạtba dấu  chấm3 số cuối của thẻ cần kích hoạt Ví dụ VCB KHT 412975123Hoặc soạn VCB HELP hoặc HELP KHT gửi 6167 để được hướng dẫn Đăng nhập VCB Digibank tại mục Dịch vụ Thẻ chọn tính năng Kích hoạt thẻ Liên  hệ chi nhánh phát hành thẻ 2 Nhập sai số PIN đã được NH cấp lần đầu Quý khách kiểm tra và nhập đúng số PIN đã được cung cấp3 Thẻ bị lỗi vật lý hoặc bị lỗi trong quá trình bảo quản thẻ của KH Quý khách liên hệ CN phát hành thẻTTDVKH để được hỗ trợ và phát hành lại thẻ
KH có thể thanh toán Billing tại máy ATM cho những dịch vụ nào ATM có hiển thị thông báo về thông tin người hưởng khi KH thanh toán hay không, KH có thể thanh toán tại máy ATM VCB cho các nhà cung cấp dịch vụ sau Điện lực FPTTelecom MobiFone VMS TCT Đường sắt VN Topup TT cước phí điện thoại di động Viettel VTC Vietnam Airlines VietJet AirAirAsia Jetstar Khi KH lựa chọn xong Nhà cung cấp màn hình ATM hiển thị các thông tin liên quan đến dịch vụ bao gồm thông tin người hưởng để KH kiểm tra và xác nhận
Tôi có thể sử dụng CCCD để rút tiền tại ATM VCB được không,Nhằm gia tăng tiện ích cho khách hàng sử dụng sản phẩm và dịch vụ của Ngân hàng Vietcombank đã triển khai dịch vụ  sử dụng CCCD rút tiền mặt tại ATM VCB cho chủ thẻ ghi nợ Vietcombank Connect24 Hiện tai VCB đang thực hiện thí điểm tại 02 máy ATM 01 ATM mã hiệu 10800486 tại trụ sở CN Ba Đình  72 Trần Hưng Đạo TP Hà Nội 01 ATM mã hiệu 10800074 Tại SGD  198 Trần Quang Khải TP Hà NộiCác bước thực hiện RTM bằng CCCD tại ATM VCB như sauBước 1 KH lựa chọn Giao dịch không dùng thẻBước 2 Lựa chọn ngôn ngữBước 3 KH lựa chọn giao dich Rút tiền bằng CCCD trên máy ATMBước 4 KH lựa chọn phương thức xác thực cho giao dịch rút tiền bằng CCCDKH lựa chọn 01 trong 02 phương thức Xác thực bằng khuôn mặt Xác thực bằng vân tayBước 5 KH đặt thẻ CCCD gắn chip vào thiết bị đọc và thực hiện xác thực theo hướng dẫn tại máy ATMBước 6 Sau khi xác thực thông tin CCCD của KH thành công  hệ thống hiện thị số thẻ tương ứng của KH trên màn hình ATMBước 7 KH nhập PIN thẻ và thực hiện giao dịch rút tiền mặt như thông thường
